APPROACH,K,sizeof(MemoRecord),num_threads,MEMORY_SIZE(MB),file_size(GB),BATCH_SIZE,total_throughput(MH/s),total_throughput(MB/s),elapsed_time_hash_total,elapsed_time_hash2_total,elapsed_time_io_total,elapsed_time_shuffle_total,other_time,elapsed_time,storage_efficiency
for,28,4,8,512,1.00,1024,2.56,10.24,25.79,52.51,8.65,0.00,70.43,104.87,57.58%
for,28,4,8,512,1.00,1024,2.52,10.08,25.73,53.01,9.61,0.00,71.22,106.55,57.58%
for,28,4,8,512,1.00,1024,2.59,10.35,25.55,51.67,8.45,0.00,69.77,103.77,57.57%
for,28,4,8,1024,1.00,1024,2.66,10.65,34.28,113.37,4.66,0.00,61.86,100.80,64.40%
for,28,4,8,1024,1.00,1024,2.93,11.73,26.20,114.35,3.50,0.00,61.84,91.54,64.40%
for,28,4,8,1024,1.00,1024,2.91,11.65,26.20,114.07,4.00,0.00,61.97,92.17,64.41%
for,29,4,8,512,2.00,1024,2.45,9.79,52.85,115.62,21.81,0.00,144.72,219.37,63.99%
for,29,4,8,512,2.00,1024,2.49,9.97,51.90,112.73,21.39,0.00,142.13,215.42,63.99%
for,29,4,8,512,2.00,1024,2.46,9.84,51.03,115.34,22.40,0.00,144.88,218.32,63.98%
for,29,4,8,1024,2.00,1024,2.44,9.78,52.40,123.57,15.08,0.00,152.20,219.68,71.48%
for,29,4,8,1024,2.00,1024,2.45,9.80,52.42,123.47,15.36,0.00,151.26,219.04,71.49%
for,29,4,8,1024,2.00,1024,2.45,9.78,52.07,122.52,13.82,0.00,153.59,219.48,71.49%
for,29,4,8,2048,2.00,1024,2.71,10.83,53.93,260.29,6.50,0.00,137.85,198.28,77.04%
for,29,4,8,2048,2.00,1024,2.65,10.60,53.34,265.72,7.53,0.00,141.63,202.50,77.05%
for,29,4,8,2048,2.00,1024,2.71,10.83,53.11,262.78,6.79,0.00,138.46,198.36,77.03%
for,30,4,8,512,4.00,1024,2.41,9.64,103.68,236.45,50.82,0.00,290.88,445.38,67.19%
for,30,4,8,512,4.00,1024,2.41,9.64,102.46,236.40,51.99,0.00,290.88,445.34,67.19%
for,30,4,8,512,4.00,1024,2.39,9.56,102.57,240.25,51.89,0.00,294.75,449.20,67.19%
for,30,4,8,1024,4.00,1024,2.33,9.30,107.75,263.93,42.90,0.00,311.17,461.82,75.00%
for,30,4,8,1024,4.00,1024,2.34,9.37,105.62,265.31,39.68,0.00,313.02,458.33,75.00%
for,30,4,8,1024,4.00,1024,2.29,9.16,104.56,275.92,39.62,0.00,324.49,468.67,75.00%
for,30,4,8,2048,4.00,1024,2.29,9.14,107.27,272.20,33.39,0.00,329.17,469.83,80.82%
for,30,4,8,2048,4.00,1024,2.28,9.13,108.93,272.72,34.82,0.00,326.91,470.67,80.82%
for,30,4,8,2048,4.00,1024,2.31,9.22,106.97,271.81,32.63,0.00,326.04,465.65,80.82%
for,30,4,8,4096,4.00,1024,2.51,10.05,107.78,574.88,19.19,0.00,300.36,427.33,85.06%
for,30,4,8,4096,4.00,1024,2.49,9.98,110.76,575.81,18.78,0.00,300.96,430.50,85.06%
for,30,4,8,4096,4.00,1024,2.55,10.19,107.68,575.70,12.87,0.00,301.02,421.57,85.06%
for,31,4,8,512,8.00,1024,2.35,9.39,206.05,489.03,105.79,0.00,602.62,914.46,68.78%
for,31,4,8,512,8.00,1024,2.37,9.49,205.57,489.27,101.06,0.00,598.08,904.71,68.77%
for,31,4,8,512,8.00,1024,2.37,9.46,207.19,487.83,103.45,0.00,597.05,907.69,68.77%
for,31,4,8,1024,8.00,1024,2.26,9.06,212.17,562.65,81.96,0.00,654.26,948.38,76.72%
for,31,4,8,1024,8.00,1024,2.30,9.20,210.56,548.55,78.16,0.00,644.88,933.60,76.72%
for,31,4,8,1024,8.00,1024,2.30,9.22,210.52,546.77,80.67,0.00,640.51,931.70,76.72%
for,31,4,8,2048,8.00,1024,2.29,9.15,218.12,564.99,59.43,0.00,661.70,939.25,82.65%
for,31,4,8,2048,8.00,1024,2.25,9.00,228.41,564.12,62.70,0.00,663.06,954.17,82.65%
for,31,4,8,2048,8.00,1024,2.31,9.23,215.83,558.62,62.45,0.00,652.32,930.60,82.65%
for,31,4,8,4096,8.00,1024,2.26,9.03,223.13,584.04,45.00,0.00,683.54,951.67,86.99%
for,31,4,8,4096,8.00,1024,2.27,9.08,217.40,586.54,45.03,0.00,684.00,946.43,86.99%
for,31,4,8,4096,8.00,1024,2.21,8.85,223.92,585.34,63.13,0.00,683.30,970.35,86.99%
for,31,4,8,8192,8.00,1024,2.45,9.80,220.11,1217.87,30.08,0.00,625.92,876.11,90.12%
for,31,4,8,8192,8.00,1024,2.48,9.93,218.22,1194.40,32.48,0.00,614.65,865.36,90.13%
for,31,4,8,8192,8.00,1024,2.45,9.79,218.04,1211.49,36.58,0.00,623.06,877.69,90.12%
for,32,4,8,512,16.00,1024,2.31,9.24,412.23,998.15,205.19,0.00,1242.20,1859.62,69.57%
for,32,4,8,512,16.00,1024,2.30,9.19,422.80,995.69,211.80,0.00,1235.11,1869.71,69.57%
for,32,4,8,512,16.00,1024,2.32,9.28,410.54,994.17,207.73,0.00,1233.17,1851.44,69.56%
for,32,4,8,1024,16.00,1024,2.28,9.13,421.18,1108.44,152.07,0.00,1308.07,1881.32,77.57%
for,32,4,8,1024,16.00,1024,2.28,9.13,423.03,1112.90,150.03,0.00,1309.57,1882.63,77.57%
for,32,4,8,1024,16.00,1024,2.23,8.92,422.49,1136.39,156.50,0.00,1346.75,1925.74,77.57%
for,32,4,8,2048,16.00,1024,2.24,8.95,449.23,1146.59,129.60,0.00,1340.40,1919.24,83.55%
for,32,4,8,2048,16.00,1024,2.24,8.97,444.52,1161.61,121.65,0.00,1348.40,1914.56,83.55%
for,32,4,8,2048,16.00,1024,2.24,8.97,433.74,1167.90,124.43,0.00,1356.56,1914.73,83.55%
for,32,4,8,4096,16.00,1024,2.26,9.03,432.18,1198.18,94.19,0.00,1375.22,1901.59,87.93%
for,32,4,8,4096,16.00,1024,2.26,9.03,434.51,1193.84,95.28,0.00,1372.37,1902.15,87.94%
for,32,4,8,4096,16.00,1024,2.27,9.08,437.38,1189.85,94.28,0.00,1360.39,1892.04,87.94%
for,32,4,8,8192,16.00,1024,2.23,8.90,450.98,1221.71,86.33,0.00,1392.50,1929.81,91.10%
for,32,4,8,8192,16.00,1024,2.23,8.94,437.27,1222.56,95.20,0.00,1389.97,1922.43,91.10%
for,32,4,8,8192,16.00,1024,2.21,8.83,443.75,1217.87,123.64,0.00,1378.92,1946.30,91.10%
