APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,8,128,0.12,1024,3.11,12.45,3.16,5.33,0.00,2.30,10.78,21.68
for,25,4,8,128,0.12,1024,3.17,12.67,2.98,5.32,0.00,2.30,10.60,21.68
for,25,4,8,128,0.12,1024,3.10,12.40,3.09,5.44,0.00,2.30,10.83,21.68
for,26,4,8,256,0.25,1024,3.28,13.12,5.73,12.26,0.00,2.47,20.46,43.92
for,26,4,8,256,0.25,1024,3.27,13.09,5.70,12.35,0.00,2.44,20.50,43.92
for,26,4,8,256,0.25,1024,3.23,12.92,5.78,12.46,0.00,2.54,20.77,43.92
for,27,4,8,512,0.50,1024,3.06,12.26,12.22,28.62,0.00,2.96,43.81,61.23
for,27,4,8,512,0.50,1024,3.09,12.35,11.96,28.65,0.00,2.87,43.48,61.23
for,27,4,8,512,0.50,1024,3.09,12.34,11.66,28.98,0.00,2.86,43.50,61.24
for,28,4,8,1024,1.00,1024,2.83,11.33,24.80,66.22,0.00,3.78,94.80,73.48
for,28,4,8,1024,1.00,1024,2.83,11.31,24.65,66.52,0.00,3.73,94.91,73.48
for,28,4,8,1024,1.00,1024,2.85,11.40,24.40,66.14,0.00,3.68,94.23,73.48
for,29,4,8,2048,2.00,1024,2.72,10.88,52.06,140.14,0.00,5.14,197.34,81.85
for,29,4,8,2048,2.00,1024,2.71,10.83,50.96,142.17,0.00,5.10,198.24,81.85
for,29,4,8,2048,2.00,1024,2.71,10.86,52.09,140.60,0.00,5.12,197.81,81.85
for,30,4,8,4096,4.00,1024,2.62,10.47,106.10,297.05,0.00,7.20,410.35,87.43
for,30,4,8,4096,4.00,1024,2.64,10.56,104.80,295.01,0.00,6.99,406.80,87.43
for,30,4,8,4096,4.00,1024,2.63,10.50,104.86,296.77,0.00,7.26,408.88,87.43
for,31,4,8,8192,8.00,1024,2.54,10.14,214.94,621.68,0.00,10.47,847.09,90.83
for,31,4,8,8192,8.00,1024,2.52,10.08,217.14,624.80,0.00,10.32,852.26,90.83
for,31,4,8,8192,8.00,1024,2.53,10.13,220.57,616.41,0.00,10.99,847.96,90.83
