approach,K,record_size,num_threads,memory_mb,file_size_gb,batch_size,write_batch_size,throughput_mhs,throughput_mbs,hash_time,hash2_time,io_time,io2_time,other_time,total_time,match_percentage,storage_efficiency
for,25,4,128,128,0.12,1024,16384,13.19,52.77,0.81,0.34,0.28,0.00,1.46,2.54,22.28%,21.69%
for,26,4,128,256,0.25,1024,16384,19.97,79.88,1.02,0.92,0.53,0.00,1.81,3.36,45.19%,43.92%
for,27,4,128,512,0.50,1024,16384,25.35,101.40,1.35,2.18,1.09,0.00,2.85,5.29,62.79%,61.23%
for,28,4,128,1024,1.00,1024,16384,30.15,120.58,2.08,4.90,2.17,0.00,4.65,8.90,75.02%,73.48%
for,29,4,128,2048,2.00,1024,16384,33.67,134.68,3.58,10.93,4.76,0.00,7.61,15.94,83.20%,81.84%
for,30,4,128,4096,4.00,1024,16384,33.63,134.52,7.14,20.78,10.63,0.00,14.16,31.93,88.62%,87.52%
for,31,4,128,8192,8.00,1024,16384,36.11,144.43,13.83,44.35,17.10,0.00,28.55,59.48,92.22%,91.36%
for,32,4,128,16384,16.00,1024,16384,37.11,148.45,26.64,90.82,31.94,0.00,57.15,115.73,94.64%,94.00%
for,33,5,128,40960,40.00,1024,16384,33.47,167.37,58.93,194.80,70.58,0.00,127.10,256.62,96.29%,95.81%
for,34,5,128,81920,80.00,1024,16384,31.42,157.09,120.81,385.16,171.98,0.00,254.03,546.82,97.41%,97.06%
