approach,K,record_size,num_threads,memory_mb,file_size_gb,batch_size,write_batch_size,throughput_mhs,throughput_mbs,hash_time,hash2_time,io_time,io2_time,other_time,total_time,match_percentage,storage_efficiency,match_factor_used
for,25,4,128,128,0.12,1024,16384,12.93,51.72,0.82,0.37,0.28,0.00,1.50,2.59,29.70%,28.39%,.2228
for,26,4,128,256,0.25,1024,16384,18.14,72.54,1.02,1.64,0.54,0.00,2.14,3.70,82.67%,71.72%,.4519
for,27,4,128,512,0.50,1024,16384,22.28,89.12,1.38,3.40,1.13,0.00,3.52,6.02,96.08%,84.18%,.6279
for,28,4,128,1024,1.00,1024,16384,26.01,104.06,2.07,6.44,3.46,0.00,4.79,10.32,98.93%,89.57%,.7502
for,29,4,128,2048,2.00,1024,16384,29.78,119.10,4.01,13.32,4.45,0.00,9.56,18.03,99.67%,92.81%,.8320
for,30,4,128,4096,4.00,1024,16384,33.89,135.58,6.38,23.18,10.06,0.00,15.24,31.68,99.89%,94.97%,.8862
for,31,4,128,8192,8.00,1024,16384,35.38,141.51,13.75,43.27,19.60,0.00,27.36,60.70,99.97%,96.46%,.9222
for,32,4,128,16384,16.00,1024,16384,37.42,149.67,26.17,94.94,29.60,0.00,59.00,114.78,99.99%,97.50%,.9464
for,33,5,128,40960,40.00,1024,16384,33.90,169.50,61.23,195.06,65.48,0.00,126.68,253.39,99.99%,98.23%,.9629
for,34,5,128,81920,80.00,1024,16384,31.99,159.93,119.02,398.20,160.15,0.00,257.93,537.11,100.00%,98.75%,.9741
